#This is the full journey report starting at time 0
#For every pair of vertices, the foremost and shortest journeys are displayed
#Each edge is in the form (originNode[traversalTime]destinationNode)

#This report is for the trace: null
#Uploaded to DTNTES by: null
#No link to the trace was provided


Node 11 to node 44
Foremost Journey: 11 [49] 44
Shortest Journey: 11 [49] 44

Node 11 to node 45
Foremost Journey: 11 [49] 45
Shortest Journey: 11 [49] 45

Node 11 to node 46
Foremost Journey: 11 [49] 46
Shortest Journey: 11 [49] 46

Node 11 to node 47
Foremost Journey: 11 [49] 47
Shortest Journey: 11 [49] 47

Node 11 to node 48
Foremost Journey: 11 [49] 48
Shortest Journey: 11 [49] 48

Node 11 to node 49
Foremost Journey: 11 [49] 49
Shortest Journey: 11 [49] 49

Node 12 to node 0
Foremost Journey: 12 [49] 0
Shortest Journey: 12 [49] 0

Node 12 to node 1
Foremost Journey: 12 [49] 1
Shortest Journey: 12 [49] 1

Node 12 to node 2
Foremost Journey: 12 [49] 2
Shortest Journey: 12 [49] 2

Node 12 to node 3
Foremost Journey: 12 [49] 3
Shortest Journey: 12 [49] 3

Node 12 to node 4
Foremost Journey: 12 [49] 4
Shortest Journey: 12 [49] 4

Node 12 to node 5
Foremost Journey: 12 [49] 5
Shortest Journey: 12 [49] 5

Node 12 to node 6
Foremost Journey: 12 [49] 6
Shortest Journey: 12 [49] 6

Node 12 to node 7
Foremost Journey: 12 [49] 7
Shortest Journey: 12 [49] 7

Node 12 to node 8
Foremost Journey: 12 [49] 8
Shortest Journey: 12 [49] 8

Node 12 to node 9
Foremost Journey: 12 [49] 9
Shortest Journey: 12 [49] 9

Node 12 to node 10
Foremost Journey: 12 [49] 10
Shortest Journey: 12 [49] 10

Node 12 to node 11
Foremost Journey: 12 [49] 11
Shortest Journey: 12 [49] 11

Node 12 to node 13
Foremost Journey: 12 [49] 13
Shortest Journey: 12 [49] 13

Node 12 to node 14
Foremost Journey: 12 [49] 14
Shortest Journey: 12 [49] 14

Node 12 to node 15
Foremost Journey: 12 [49] 15
Shortest Journey: 12 [49] 15

Node 12 to node 16
Foremost Journey: 12 [49] 16
Shortest Journey: 12 [49] 16

Node 12 to node 17
Foremost Journey: 12 [49] 17
Shortest Journey: 12 [49] 17

Node 12 to node 18
Foremost Journey: 12 [49] 18
Shortest Journey: 12 [49] 18

Node 12 to node 19
Foremost Journey: 12 [49] 19
Shortest Journey: 12 [49] 19

Node 12 to node 20
Foremost Journey: 12 [49] 20
Shortest Journey: 12 [49] 20

Node 12 to node 21
Foremost Journey: 12 [49] 21
Shortest Journey: 12 [49] 21

Node 12 to node 22
Foremost Journey: 12 [49] 22
Shortest Journey: 12 [49] 22

Node 12 to node 23
Foremost Journey: 12 [49] 23
Shortest Journey: 12 [49] 23

Node 12 to node 24
Foremost Journey: 12 [49] 24
Shortest Journey: 12 [49] 24

Node 12 to node 25
Foremost Journey: 12 [49] 25
Shortest Journey: 12 [49] 25

Node 12 to node 26
Foremost Journey: 12 [49] 26
Shortest Journey: 12 [49] 26

Node 12 to node 27
Foremost Journey: 12 [49] 27
Shortest Journey: 12 [49] 27

Node 12 to node 28
Foremost Journey: 12 [49] 28
Shortest Journey: 12 [49] 28

Node 12 to node 29
Foremost Journey: 12 [49] 29
Shortest Journey: 12 [49] 29

Node 12 to node 30
Foremost Journey: 12 [49] 30
Shortest Journey: 12 [49] 30

Node 12 to node 31
Foremost Journey: 12 [49] 31
Shortest Journey: 12 [49] 31

Node 12 to node 32
Foremost Journey: 12 [49] 32
Shortest Journey: 12 [49] 32

Node 12 to node 33
Foremost Journey: 12 [49] 33
Shortest Journey: 12 [49] 33

Node 12 to node 34
Foremost Journey: 12 [49] 34
Shortest Journey: 12 [49] 34

Node 12 to node 35
Foremost Journey: 12 [49] 35
Shortest Journey: 12 [49] 35

Node 12 to node 36
Foremost Journey: 12 [49] 36
Shortest Journey: 12 [49] 36

Node 12 to node 37
Foremost Journey: 12 [49] 37
Shortest Journey: 12 [49] 37

Node 12 to node 38
Foremost Journey: 12 [49] 38
Shortest Journey: 12 [49] 38

Node 12 to node 39
Foremost Journey: 12 [49] 39
Shortest Journey: 12 [49] 39

Node 12 to node 40
Foremost Journey: 12 [49] 40
Shortest Journey: 12 [49] 40

Node 12 to node 41
Foremost Journey: 12 [49] 41
Shortest Journey: 12 [49] 41

Node 12 to node 42
Foremost Journey: 12 [49] 42
Shortest Journey: 12 [49] 42

Node 12 to node 43
Foremost Journey: 12 [49] 43
Shortest Journey: 12 [49] 43

Node 12 to node 44
Foremost Journey: 12 [49] 44
Shortest Journey: 12 [49] 44

Node 12 to node 45
Foremost Journey: 12 [49] 45
Shortest Journey: 12 [49] 45

Node 12 to node 46
Foremost Journey: 12 [49] 46
Shortest Journey: 12 [49] 46

Node 12 to node 47
Foremost Journey: 12 [49] 47
Shortest Journey: 12 [49] 47

Node 12 to node 48
Foremost Journey: 12 [49] 48
Shortest Journey: 12 [49] 48

Node 12 to node 49
Foremost Journey: 12 [49] 49
Shortest Journey: 12 [49] 49

Node 13 to node 0
Foremost Journey: 13 [49] 0
Shortest Journey: 13 [49] 0

Node 13 to node 1
Foremost Journey: 13 [49] 1
Shortest Journey: 13 [49] 1

Node 13 to node 2
Foremost Journey: 13 [49] 2
Shortest Journey: 13 [49] 2

Node 13 to node 3
Foremost Journey: 13 [49] 3
Shortest Journey: 13 [49] 3

Node 13 to node 4
Foremost Journey: 13 [49] 4
Shortest Journey: 13 [49] 4

Node 13 to node 5
Foremost Journey: 13 [49] 5
Shortest Journey: 13 [49] 5

Node 13 to node 6
Foremost Journey: 13 [49] 6
Shortest Journey: 13 [49] 6

Node 13 to node 7
Foremost Journey: 13 [49] 7
Shortest Journey: 13 [49] 7

Node 13 to node 8
Foremost Journey: 13 [49] 8
Shortest Journey: 13 [49] 8

Node 13 to node 9
Foremost Journey: 13 [49] 9
Shortest Journey: 13 [49] 9

Node 13 to node 10
Foremost Journey: 13 [49] 10
Shortest Journey: 13 [49] 10

Node 13 to node 11
Foremost Journey: 13 [49] 11
Shortest Journey: 13 [49] 11

Node 13 to node 12
Foremost Journey: 13 [49] 12
Shortest Journey: 13 [49] 12

Node 13 to node 14
Foremost Journey: 13 [49] 14
Shortest Journey: 13 [49] 14

Node 13 to node 15
Foremost Journey: 13 [49] 15
Shortest Journey: 13 [49] 15

Node 13 to node 16
Foremost Journey: 13 [49] 16
Shortest Journey: 13 [49] 16

Node 13 to node 17
Foremost Journey: 13 [49] 17
Shortest Journey: 13 [49] 17

Node 13 to node 18
Foremost Journey: 13 [49] 18
Shortest Journey: 13 [49] 18

Node 13 to node 19
Foremost Journey: 13 [49] 19
Shortest Journey: 13 [49] 19

Node 13 to node 20
Foremost Journey: 13 [49] 20
Shortest Journey: 13 [49] 20

Node 13 to node 21
Foremost Journey: 13 [49] 21
Shortest Journey: 13 [49] 21

Node 13 to node 22
Foremost Journey: 13 [49] 22
Shortest Journey: 13 [49] 22

Node 13 to node 23
Foremost Journey: 13 [49] 23
Shortest Journey: 13 [49] 23

Node 13 to node 24
Foremost Journey: 13 [49] 24
Shortest Journey: 13 [49] 24

Node 13 to node 25
Foremost Journey: 13 [49] 25
Shortest Journey: 13 [49] 25

Node 13 to node 26
Foremost Journey: 13 [49] 26
Shortest Journey: 13 [49] 26

Node 13 to node 27
Foremost Journey: 13 [49] 27
Shortest Journey: 13 [49] 27

Node 13 to node 28
Foremost Journey: 13 [49] 28
Shortest Journey: 13 [49] 28

Node 13 to node 29
Foremost Journey: 13 [49] 29
Shortest Journey: 13 [49] 29

Node 13 to node 30
Foremost Journey: 13 [49] 30
Shortest Journey: 13 [49] 30

Node 13 to node 31
Foremost Journey: 13 [49] 31
Shortest Journey: 13 [49] 31

Node 13 to node 32
Foremost Journey: 13 [49] 32
Shortest Journey: 13 [49] 32

Node 13 to node 33
Foremost Journey: 13 [49] 33
Shortest Journey: 13 [49] 33

Node 13 to node 34
Foremost Journey: 13 [49] 34
Shortest Journey: 13 [49] 34

Node 13 to node 35
Foremost Journey: 13 [49] 35
Shortest Journey: 13 [49] 35

Node 13 to node 36
Foremost Journey: 13 [49] 36
Shortest Journey: 13 [49] 36

Node 13 to node 37
Foremost Journey: 13 [49] 37
Shortest Journey: 13 [49] 37

Node 13 to node 38
Foremost Journey: 13 [49] 38
Shortest Journey: 13 [49] 38

Node 13 to node 39
Foremost Journey: 13 [49] 39
Shortest Journey: 13 [49] 39

Node 13 to node 40
Foremost Journey: 13 [49] 40
Shortest Journey: 13 [49] 40

Node 13 to node 41
Foremost Journey: 13 [49] 41
Shortest Journey: 13 [49] 41

Node 13 to node 42
Foremost Journey: 13 [49] 42
Shortest Journey: 13 [49] 42

Node 13 to node 43
Foremost Journey: 13 [49] 43
Shortest Journey: 13 [49] 43

Node 13 to node 44
Foremost Journey: 13 [49] 44
Shortest Journey: 13 [49] 44

Node 13 to node 45
Foremost Journey: 13 [49] 45
Shortest Journey: 13 [49] 45

Node 13 to node 46
Foremost Journey: 13 [49] 46
Shortest Journey: 13 [49] 46

Node 13 to node 47
Foremost Journey: 13 [49] 47
Shortest Journey: 13 [49] 47

Node 13 to node 48
Foremost Journey: 13 [49] 48
Shortest Journey: 13 [49] 48

Node 13 to node 49
Foremost Journey: 13 [49] 49
Shortest Journey: 13 [49] 49

Node 14 to node 0
Foremost Journey: 14 [49] 0
Shortest Journey: 14 [49] 0

Node 14 to node 1
Foremost Journey: 14 [49] 1
Shortest Journey: 14 [49] 1

Node 14 to node 2
Foremost Journey: 14 [49] 2
Shortest Journey: 14 [49] 2

Node 14 to node 3
Foremost Journey: 14 [49] 3
Shortest Journey: 14 [49] 3

Node 14 to node 4
Foremost Journey: 14 [49] 4
Shortest Journey: 14 [49] 4

Node 14 to node 5
Foremost Journey: 14 [49] 5
Shortest Journey: 14 [49] 5

Node 14 to node 6
Foremost Journey: 14 [49] 6
Shortest Journey: 14 [49] 6

Node 14 to node 7
Foremost Journey: 14 [49] 7
Shortest Journey: 14 [49] 7

Node 14 to node 8
Foremost Journey: 14 [49] 8
Shortest Journey: 14 [49] 8

Node 14 to node 9
Foremost Journey: 14 [49] 9
Shortest Journey: 14 [49] 9

Node 14 to node 10
Foremost Journey: 14 [49] 10
Shortest Journey: 14 [49] 10

Node 14 to node 11
Foremost Journey: 14 [49] 11
Shortest Journey: 14 [49] 11

Node 14 to node 12
Foremost Journey: 14 [49] 12
Shortest Journey: 14 [49] 12

Node 14 to node 13
Foremost Journey: 14 [49] 13
Shortest Journey: 14 [49] 13

Node 14 to node 15
Foremost Journey: 14 [49] 15
Shortest Journey: 14 [49] 15

Node 14 to node 16
Foremost Journey: 14 [49] 16
Shortest Journey: 14 [49] 16

Node 14 to node 17
Foremost Journey: 14 [49] 17
Shortest Journey: 14 [49] 17

Node 14 to node 18
Foremost Journey: 14 [49] 18
Shortest Journey: 14 [49] 18

Node 14 to node 19
Foremost Journey: 14 [49] 19
Shortest Journey: 14 [49] 19

Node 14 to node 20
Foremost Journey: 14 [49] 20
Shortest Journey: 14 [49] 20

Node 14 to node 21
Foremost Journey: 14 [49] 21
Shortest Journey: 14 [49] 21

Node 14 to node 22
Foremost Journey: 14 [49] 22
Shortest Journey: 14 [49] 22

Node 14 to node 23
Foremost Journey: 14 [49] 23
Shortest Journey: 14 [49] 23

Node 14 to node 24
Foremost Journey: 14 [49] 24
Shortest Journey: 14 [49] 24

Node 14 to node 25
Foremost Journey: 14 [49] 25
Shortest Journey: 14 [49] 25

Node 14 to node 26
Foremost Journey: 14 [49] 26
Shortest Journey: 14 [49] 26

Node 14 to node 27
Foremost Journey: 14 [49] 27
Shortest Journey: 14 [49] 27

Node 14 to node 28
Foremost Journey: 14 [49] 28
Shortest Journey: 14 [49] 28

Node 14 to node 29
Foremost Journey: 14 [49] 29
Shortest Journey: 14 [49] 29

Node 14 to node 30
Foremost Journey: 14 [49] 30
Shortest Journey: 14 [49] 30

Node 14 to node 31
Foremost Journey: 14 [49] 31
Shortest Journey: 14 [49] 31

Node 14 to node 32
Foremost Journey: 14 [49] 32
Shortest Journey: 14 [49] 32

Node 14 to node 33
Foremost Journey: 14 [49] 33
Shortest Journey: 14 [49] 33

Node 14 to node 34
Foremost Journey: 14 [49] 34
Shortest Journey: 14 [49] 34

Node 14 to node 35
Foremost Journey: 14 [49] 35
Shortest Journey: 14 [49] 35

Node 14 to node 36
Foremost Journey: 14 [49] 36
Shortest Journey: 14 [49] 36

Node 14 to node 37
Foremost Journey: 14 [49] 37
Shortest Journey: 14 [49] 37

Node 14 to node 38
Foremost Journey: 14 [49] 38
Shortest Journey: 14 [49] 38

Node 14 to node 39
Foremost Journey: 14 [49] 39
Shortest Journey: 14 [49] 39

Node 14 to node 40
Foremost Journey: 14 [49] 40
Shortest Journey: 14 [49] 40

Node 14 to node 41
Foremost Journey: 14 [49] 41
Shortest Journey: 14 [49] 41

Node 14 to node 42
Foremost Journey: 14 [49] 42
Shortest Journey: 14 [49] 42

Node 14 to node 43
Foremost Journey: 14 [49] 43
Shortest Journey: 14 [49] 43

Node 14 to node 44
Foremost Journey: 14 [49] 44
Shortest Journey: 14 [49] 44

Node 14 to node 45
Foremost Journey: 14 [49] 45
Shortest Journey: 14 [49] 45

Node 14 to node 46
Foremost Journey: 14 [49] 46
Shortest Journey: 14 [49] 46

Node 14 to node 47
Foremost Journey: 14 [49] 47
Shortest Journey: 14 [49] 47

Node 14 to node 48
Foremost Journey: 14 [49] 48
Shortest Journey: 14 [49] 48

Node 14 to node 49
Foremost Journey: 14 [49] 49
Shortest Journey: 14 [49] 49

Node 15 to node 0
Foremost Journey: 15 [49] 0
Shortest Journey: 15 [49] 0

Node 15 to node 1
Foremost Journey: 15 [49] 1
Shortest Journey: 15 [49] 1

Node 15 to node 2
Foremost Journey: 15 [49] 2
Shortest Journey: 15 [49] 2

Node 15 to node 3
Foremost Journey: 15 [49] 3
Shortest Journey: 15 [49] 3

Node 15 to node 4
Foremost Journey: 15 [49] 4
Shortest Journey: 15 [49] 4

Node 15 to node 5
Foremost Journey: 15 [49] 5
Shortest Journey: 15 [49] 5

Node 15 to node 6
Foremost Journey: 15 [49] 6
Shortest Journey: 15 [49] 6

Node 15 to node 7
Foremost Journey: 15 [49] 7
Shortest Journey: 15 [49] 7

Node 15 to node 8
Foremost Journey: 15 [49] 8
Shortest Journey: 15 [49] 8

Node 15 to node 9
Foremost Journey: 15 [49] 9
Shortest Journey: 15 [49] 9

Node 15 to node 10
Foremost Journey: 15 [49] 10
Shortest Journey: 15 [49] 10

Node 15 to node 11
Foremost Journey: 15 [49] 11
Shortest Journey: 15 [49] 11

Node 15 to node 12
Foremost Journey: 15 [49] 12
Shortest Journey: 15 [49] 12

Node 15 to node 13
Foremost Journey: 15 [49] 13
Shortest Journey: 15 [49] 13

Node 15 to node 14
Foremost Journey: 15 [49] 14
Shortest Journey: 15 [49] 14

Node 15 to node 16
Foremost Journey: 15 [49] 16
Shortest Journey: 15 [49] 16

Node 15 to node 17
Foremost Journey: 15 [49] 17
Shortest Journey: 15 [49] 17

Node 15 to node 18
Foremost Journey: 15 [49] 18
Shortest Journey: 15 [49] 18

Node 15 to node 19
Foremost Journey: 15 [49] 19
Shortest Journey: 15 [49] 19

Node 15 to node 20
Foremost Journey: 15 [49] 20
Shortest Journey: 15 [49] 20

Node 15 to node 21
Foremost Journey: 15 [49] 21
Shortest Journey: 15 [49] 21

Node 15 to node 22
Foremost Journey: 15 [49] 22
Shortest Journey: 15 [49] 22

Node 15 to node 23
Foremost Journey: 15 [49] 23
Shortest Journey: 15 [49] 23

Node 15 to node 24
Foremost Journey: 15 [49] 24
Shortest Journey: 15 [49] 24

Node 15 to node 25
Foremost Journey: 15 [49] 25
Shortest Journey: 15 [49] 25

Node 15 to node 26
Foremost Journey: 15 [49] 26
Shortest Journey: 15 [49] 26

Node 15 to node 27
Foremost Journey: 15 [49] 27
Shortest Journey: 15 [49] 27

Node 15 to node 28
Foremost Journey: 15 [49] 28
Shortest Journey: 15 [49] 28

Node 15 to node 29
Foremost Journey: 15 [49] 29
Shortest Journey: 15 [49] 29

Node 15 to node 30
Foremost Journey: 15 [49] 30
Shortest Journey: 15 [49] 30

Node 15 to node 31
Foremost Journey: 15 [49] 31
Shortest Journey: 15 [49] 31

Node 15 to node 32
Foremost Journey: 15 [49] 32
Shortest Journey: 15 [49] 32

Node 15 to node 33
Foremost Journey: 15 [49] 33
Shortest Journey: 15 [49] 33

Node 15 to node 34
Foremost Journey: 15 [49] 34
Shortest Journey: 15 [49] 34

Node 15 to node 35
Foremost Journey: 15 [49] 35
Shortest Journey: 15 [49] 35

Node 15 to node 36
Foremost Journey: 15 [49] 36
Shortest Journey: 15 [49] 36

Node 15 to node 37
Foremost Journey: 15 [49] 37
Shortest Journey: 15 [49] 37

Node 15 to node 38
Foremost Journey: 15 [49] 38
Shortest Journey: 15 [49] 38

Node 15 to node 39
Foremost Journey: 15 [49] 39
Shortest Journey: 15 [49] 39

Node 15 to node 40
Foremost Journey: 15 [49] 40
Shortest Journey: 15 [49] 40

Node 15 to node 41
Foremost Journey: 15 [49] 41
Shortest Journey: 15 [49] 41

Node 15 to node 42
Foremost Journey: 15 [49] 42
Shortest Journey: 15 [49] 42

Node 15 to node 43
Foremost Journey: 15 [49] 43
Shortest Journey: 15 [49] 43

Node 15 to node 44
Foremost Journey: 15 [49] 44
Shortest Journey: 15 [49] 44

Node 15 to node 45
Foremost Journey: 15 [49] 45
Shortest Journey: 15 [49] 45

Node 15 to node 46
Foremost Journey: 15 [49] 46
Shortest Journey: 15 [49] 46

Node 15 to node 47
Foremost Journey: 15 [49] 47
Shortest Journey: 15 [49] 47

Node 15 to node 48
Foremost Journey: 15 [49] 48
Shortest Journey: 15 [49] 48

Node 15 to node 49
Foremost Journey: 15 [49] 49
Shortest Journey: 15 [49] 49

Node 16 to node 0
Foremost Journey: 16 [49] 0
Shortest Journey: 16 [49] 0

Node 16 to node 1
Foremost Journey: 16 [49] 1
Shortest Journey: 16 [49] 1

Node 16 to node 2
Foremost Journey: 16 [49] 2
Shortest Journey: 16 [49] 2

Node 16 to node 3
Foremost Journey: 16 [49] 3
Shortest Journey: 16 [49] 3

Node 16 to node 4
Foremost Journey: 16 [49] 4
Shortest Journey: 16 [49] 4

Node 16 to node 5
Foremost Journey: 16 [49] 5
Shortest Journey: 16 [49] 5

Node 16 to node 6
Foremost Journey: 16 [49] 6
Shortest Journey: 16 [49] 6

Node 16 to node 7
Foremost Journey: 16 [49] 7
Shortest Journey: 16 [49] 7

Node 16 to node 8
Foremost Journey: 16 [49] 8
Shortest Journey: 16 [49] 8

Node 16 to node 9
Foremost Journey: 16 [49] 9
Shortest Journey: 16 [49] 9

Node 16 to node 10
Foremost Journey: 16 [49] 10
Shortest Journey: 16 [49] 10

Node 16 to node 11
Foremost Journey: 16 [49] 11
Shortest Journey: 16 [49] 11

Node 16 to node 12
Foremost Journey: 16 [49] 12
Shortest Journey: 16 [49] 12

Node 16 to node 13
Foremost Journey: 16 [49] 13
Shortest Journey: 16 [49] 13

Node 16 to node 14
Foremost Journey: 16 [49] 14
Shortest Journey: 16 [49] 14

Node 16 to node 15
Foremost Journey: 16 [49] 15
Shortest Journey: 16 [49] 15

Node 16 to node 17
Foremost Journey: 16 [49] 17
Shortest Journey: 16 [49] 17

Node 16 to node 18
Foremost Journey: 16 [49] 18
Shortest Journey: 16 [49] 18

Node 16 to node 19
Foremost Journey: 16 [49] 19
Shortest Journey: 16 [49] 19

Node 16 to node 20
Foremost Journey: 16 [49] 20
Shortest Journey: 16 [49] 20

Node 16 to node 21
Foremost Journey: 16 [49] 21
Shortest Journey: 16 [49] 21

Node 16 to node 22
Foremost Journey: 16 [49] 22
Shortest Journey: 16 [49] 22

Node 16 to node 23
Foremost Journey: 16 [49] 23
Shortest Journey: 16 [49] 23

Node 16 to node 24
Foremost Journey: 16 [49] 24
Shortest Journey: 16 [49] 24

Node 16 to node 25
Foremost Journey: 16 [49] 25
Shortest Journey: 16 [49] 25

Node 16 to node 26
Foremost Journey: 16 [49] 26
Shortest Journey: 16 [49] 26

Node 16 to node 27
Foremost Journey: 16 [49] 27
Shortest Journey: 16 [49] 27

Node 16 to node 28
Foremost Journey: 16 [49] 28
Shortest Journey: 16 [49] 28

Node 16 to node 29
Foremost Journey: 16 [49] 29
Shortest Journey: 16 [49] 29

Node 16 to node 30
Foremost Journey: 16 [49] 30
Shortest Journey: 16 [49] 30

Node 16 to node 31
Foremost Journey: 16 [49] 31
Shortest Journey: 16 [49] 31

Node 16 to node 32
Foremost Journey: 16 [49] 32
Shortest Journey: 16 [49] 32

Node 16 to node 33
Foremost Journey: 16 [49] 33
Shortest Journey: 16 [49] 33

Node 16 to node 34
Foremost Journey: 16 [49] 34
Shortest Journey: 16 [49] 34

Node 16 to node 35
Foremost Journey: 16 [49] 35
Shortest Journey: 16 [49] 35

Node 16 to node 36
Foremost Journey: 16 [49] 36
Shortest Journey: 16 [49] 36

Node 16 to node 37
Foremost Journey: 16 [49] 37
Shortest Journey: 16 [49] 37

Node 16 to node 38
Foremost Journey: 16 [49] 38
Shortest Journey: 16 [49] 38

Node 16 to node 39
Foremost Journey: 16 [49] 39
Shortest Journey: 16 [49] 39

Node 16 to node 40
Foremost Journey: 16 [49] 40
Shortest Journey: 16 [49] 40

Node 16 to node 41
Foremost Journey: 16 [49] 41
Shortest Journey: 16 [49] 41

Node 16 to node 42
Foremost Journey: 16 [49] 42
Shortest Journey: 16 [49] 42

Node 16 to node 43
Foremost Journey: 16 [49] 43
Shortest Journey: 16 [49] 43

Node 16 to node 44
Foremost Journey: 16 [49] 44
Shortest Journey: 16 [49] 44

Node 16 to node 45
Foremost Journey: 16 [49] 45
Shortest Journey: 16 [49] 45

Node 16 to node 46
Foremost Journey: 16 [49] 46
Shortest Journey: 16 [49] 46

Node 16 to node 47
Foremost Journey: 16 [49] 47
Shortest Journey: 16 [49] 47

Node 16 to node 48
Foremost Journey: 16 [49] 48
Shortest Journey: 16 [49] 48

Node 16 to node 49
Foremost Journey: 16 [49] 49
Shortest Journey: 16 [49] 49

Node 17 to node 0
Foremost Journey: 17 [49] 0
Shortest Journey: 17 [49] 0

Node 17 to node 1
Foremost Journey: 17 [49] 1
Shortest Journey: 17 [49] 1

Node 17 to node 2
Foremost Journey: 17 [49] 2
Shortest Journey: 17 [49] 2

Node 17 to node 3
Foremost Journey: 17 [49] 3
Shortest Journey: 17 [49] 3

Node 17 to node 4
Foremost Journey: 17 [49] 4
Shortest Journey: 17 [49] 4

Node 17 to node 5
Foremost Journey: 17 [49] 5
Shortest Journey: 17 [49] 5

Node 17 to node 6
Foremost Journey: 17 [49] 6
Shortest Journey: 17 [49] 6

Node 17 to node 7
Foremost Journey: 17 [49] 7
Shortest Journey: 17 [49] 7

Node 17 to node 8
Foremost Journey: 17 [49] 8
Shortest Journey: 17 [49] 8

Node 17 to node 9
Foremost Journey: 17 [49] 9
Shortest Journey: 17 [49] 9

Node 17 to node 10
Foremost Journey: 17 [49] 10
Shortest Journey: 17 [49] 10

Node 17 to node 11
Foremost Journey: 17 [49] 11
Shortest Journey: 17 [49] 11

Node 17 to node 12
Foremost Journey: 17 [49] 12
Shortest Journey: 17 [49] 12

Node 17 to node 13
Foremost Journey: 17 [49] 13
Shortest Journey: 17 [49] 13

Node 17 to node 14
Foremost Journey: 17 [49] 14
Shortest Journey: 17 [49] 14

Node 17 to node 15
Foremost Journey: 17 [49] 15
Shortest Journey: 17 [49] 15

Node 17 to node 16
Foremost Journey: 17 [49] 16
Shortest Journey: 17 [49] 16

Node 17 to node 18
Foremost Journey: 17 [49] 18
Shortest Journey: 17 [49] 18

Node 17 to node 19
Foremost Journey: 17 [49] 19
Shortest Journey: 17 [49] 19

Node 17 to node 20
Foremost Journey: 17 [49] 20
Shortest Journey: 17 [49] 20

Node 17 to node 21
Foremost Journey: 17 [49] 21
Shortest Journey: 17 [49] 21

Node 17 to node 22
Foremost Journey: 17 [49] 22
Shortest Journey: 17 [49] 22

Node 17 to node 23
Foremost Journey: 17 [49] 23
Shortest Journey: 17 [49] 23

Node 17 to node 24
Foremost Journey: 17 [49] 24
Shortest Journey: 17 [49] 24

Node 17 to node 25
Foremost Journey: 17 [49] 25
Shortest Journey: 17 [49] 25

Node 17 to node 26
Foremost Journey: 17 [49] 26
Shortest Journey: 17 [49] 26

Node 17 to node 27
Foremost Journey: 17 [49] 27
Shortest Journey: 17 [49] 27

Node 17 to node 28
Foremost Journey: 17 [49] 28
Shortest Journey: 17 [49] 28

Node 17 to node 29
Foremost Journey: 17 [49] 29
Shortest Journey: 17 [49] 29

Node 17 to node 30
Foremost Journey: 17 [49] 30
Shortest Journey: 17 [49] 30

Node 17 to node 31
Foremost Journey: 17 [49] 31
Shortest Journey: 17 [49] 31

Node 17 to node 32
Foremost Journey: 17 [49] 32
Shortest Journey: 17 [49] 32

Node 17 to node 33
Foremost Journey: 17 [49] 33
Shortest Journey: 17 [49] 33

Node 17 to node 34
Foremost Journey: 17 [49] 34
Shortest Journey: 17 [49] 34

Node 17 to node 35
Foremost Journey: 17 [49] 35
Shortest Journey: 17 [49] 35

Node 17 to node 36
Foremost Journey: 17 [49] 36
Shortest Journey: 17 [49] 36

Node 17 to node 37
Foremost Journey: 17 [49] 37
Shortest Journey: 17 [49] 37

Node 17 to node 38
Foremost Journey: 17 [49] 38
Shortest Journey: 17 [49] 38

Node 17 to node 39
Foremost Journey: 17 [49] 39
Shortest Journey: 17 [49] 39

Node 17 to node 40
Foremost Journey: 17 [49] 40
Shortest Journey: 17 [49] 40

Node 17 to node 41
Foremost Journey: 17 [49] 41
Shortest Journey: 17 [49] 41

Node 17 to node 42
Foremost Journey: 17 [49] 42
Shortest Journey: 17 [49] 42

Node 17 to node 43
Foremost Journey: 17 [49] 43
Shortest Journey: 17 [49] 43

Node 17 to node 44
Foremost Journey: 17 [49] 44
Shortest Journey: 17 [49] 44

Node 17 to node 45
Foremost Journey: 17 [49] 45
Shortest Journey: 17 [49] 45

Node 17 to node 46
Foremost Journey: 17 [49] 46
Shortest Journey: 17 [49] 46

Node 17 to node 47
Foremost Journey: 17 [49] 47
Shortest Journey: 17 [49] 47

Node 17 to node 48
Foremost Journey: 17 [49] 48
Shortest Journey: 17 [49] 48

Node 17 to node 49
Foremost Journey: 17 [49] 49
Shortest Journey: 17 [49] 49

Node 18 to node 0
Foremost Journey: 18 [49] 0
Shortest Journey: 18 [49] 0

Node 18 to node 1
Foremost Journey: 18 [49] 1
Shortest Journey: 18 [49] 1

Node 18 to node 2
Foremost Journey: 18 [49] 2
Shortest Journey: 18 [49] 2

Node 18 to node 3
Foremost Journey: 18 [49] 3
Shortest Journey: 18 [49] 3

Node 18 to node 4
Foremost Journey: 18 [49] 4
Shortest Journey: 18 [49] 4

Node 18 to node 5
Foremost Journey: 18 [49] 5
Shortest Journey: 18 [49] 5

Node 18 to node 6
Foremost Journey: 18 [49] 6
Shortest Journey: 18 [49] 6

Node 18 to node 7
Foremost Journey: 18 [49] 7
Shortest Journey: 18 [49] 7

Node 18 to node 8
Foremost Journey: 18 [49] 8
